id,front,back,example
388,شرعي,الامتثال للقانون أو المعايير المقبولة.,يجب أن تكون الحكومة الشرعية مسؤولة أمام مواطنيها وأن تحترم حقوق الإنسان الأساسية.
389,سوء التغذية,سوء الصحة الناتج عن نظام غذائي غير كافٍ أو غير متوازن.,يمثل سوء التغذية المنتشر في مناطق النزاع أزمة إنسانية عالمية خطيرة وملحة.
390,تجلّي,علامة أو تعبير مرئي عن شيء ما.,يُعد التشرد مظهراً صارخاً لفشل سياسة الإسكان في العديد من المدن المتقدمة.
391,التهميش,عملية التعامل مع مجموعة ما على أنها هامشية.,إن تهميش الأقليات العرقية في سوق العمل يؤدي إلى استمرار دوامات الفقر وعدم المساواة.
392,الجدارة,نظام يعتمد فيه التقدم على القدرة.,يجادل النقاد بأن نظام الجدارة الحقيقي مستحيل طالما أن عدم المساواة المنهجية لم يتم معالجتها.
393,التخفيف,اتخاذ إجراءات للحد من خطورة شيء ضار.,هناك حاجة ماسة إلى استراتيجيات تخفيف فعالة للحد من أسوأ آثار تغير المناخ العالمي.
394,احتكار,السيطرة الحصرية على السوق من قبل كيان واحد.,تؤدي الاحتكارات غير الخاضعة للرقابة إلى تقليل المنافسة وتؤدي في النهاية إلى ارتفاع الأسعار بالنسبة للمستهلكين.
395,متعدد الأطراف,يشمل أكثر من طرفين أو دولتين.,إن معالجة تغير المناخ بفعالية تتطلب تعاوناً متعدد الأطراف بين جميع الدول الرئيسية المسببة للانبعاثات.
396,أهمل,الإهمال أو عدم الاهتمام بشيء ما.,أدت سنوات من الإهمال السياسي إلى حرمان العديد من المجتمعات الريفية من الرعاية الصحية أو التعليم الكافيين.
397,الليبرالية الجديدة,تفضيل الأسواق الحرة والخصخصة وإلغاء القيود التنظيمية.,يجادل النقاد بأن السياسات الاقتصادية النيوليبرالية قد وسعت الفجوة بين الأغنياء والفقراء على مستوى العالم.
398,المعايير,المعايير المقبولة للسلوك في المجتمع.,لقد أدت المعايير الاجتماعية المتغيرة حول الأدوار الجندرية إلى تغيير بيئة العمل الحديثة تدريجياً.
399,قديم,لم يعد مستخدماً؛ لقد عفا عليه الزمن وتم استبداله.,لقد أدى التقدم التكنولوجي السريع إلى جعل العديد من مهارات التصنيع التقليدية عتيقة الطراز.
400,القمع,سلطة أو سيطرة غير عادلة ومطولة على الآخرين.,لقد أدى الاضطهاد التاريخي للأقليات إلى خلق أوجه عدم مساواة متأصلة بعمق لا تزال قائمة حتى اليوم.
401,التفشي,حدوث مفاجئ لمرض أو عنف.,أدى تفشي مرض فيروسي جديد إلى اتخاذ تدابير طارئة فورية على الصعيد الدولي في مجال الصحة العامة.
402,نصيب الفرد,لكل فرد في مجموعة سكانية معينة.,يُستخدم الناتج المحلي الإجمالي للفرد بشكل شائع لمقارنة متوسط ​​مستوى المعيشة عبر مختلف البلدان.
403,الاستقطاب,التقسيم إلى مجموعتين متناقضتين بشكل حاد.,لقد جعل الاستقطاب السياسي التعاون بين الحزبين بشأن القضايا الوطنية الرئيسية أمراً صعباً بشكل متزايد.
404,الخصخصة,نقل الأصول المملوكة للدولة إلى الملكية الخاصة.,تعرض خصخصة المرافق العامة مثل المياه والطاقة لانتقادات واسعة النطاق بسبب تقليل إمكانية الوصول إليها.
405,انتشار,زيادة سريعة في عدد شيء ما.,يشكل انتشار المعلومات المضللة على وسائل التواصل الاجتماعي تهديداً خطيراً للعمليات الديمقراطية.
406,القرب,التقارب في المكان أو الزمان أو العلاقة.,يؤثر القرب الجغرافي من المراكز الاقتصادية بشكل كبير على تنمية المنطقة ونموها.
407,التصديق,الموافقة الرسمية على اتفاقية أو قانون.,يجب على المزيد من الدول التصديق على اتفاقية باريس حتى يكون للالتزامات المناخية العالمية تأثير ملموس.
408,العودة إلى الإجرام,الميل إلى ارتكاب الجريمة مرة أخرى بعد الإدانة السابقة.,لقد ثبت أن برامج إعادة التأهيل الفعالة تقلل من معدلات العودة إلى الإجرام بين المجرمين السابقين.
409,إعادة التوزيع,إعادة تخصيص الموارد لتحقيق قدر أكبر من المساواة.,يُمكّن نظام الضرائب التصاعدية من إعادة توزيع الثروة من الأغنى إلى الأكثر حرماناً.
410,تعزز,لتعزيز أو دعم فكرة أو هيكل قائم.,قد تؤدي الصور النمطية السلبية عن فئات اجتماعية معينة إلى تعزيز الصور النمطية السلبية التي تصورها وسائل الإعلام عن الجريمة دون قصد.
411,صمود,القدرة على التعافي السريع من الصعوبات.,يُعد بناء قدرة المجتمعات على الصمود أمراً ضرورياً لمساعدة السكان على تحمل آثار تغير المناخ.
412,الانتقام,الإجراء المتخذ رداً على الإصابة أو الاعتداء.,يمكن أن تؤدي الإجراءات التجارية الانتقامية بين الاقتصادات الكبرى إلى دورة مدمرة من تصاعد الرسوم الجمركية.
413,الفصل العنصري,الفصل القسري بين الجماعات في المجتمع.,للفصل العنصري في أنظمة التعليم آثار سلبية طويلة الأمد على المساواة الاجتماعية.
414,اجتماعي اقتصادي,يتعلق الأمر بالعوامل الاجتماعية والاقتصادية على حد سواء.,لا تزال الخلفية الاجتماعية والاقتصادية للطفل من أقوى المؤشرات على التحصيل الدراسي.
415,سيادة,السلطة العليا واستقلال الدولة.,تتعارض الاتفاقيات الدولية أحياناً مع رغبة الدول في الحفاظ على سيادتها الاقتصادية الكاملة.
416,دعم,لتقديم الدعم المالي من الأموال الحكومية.,تدعم العديد من الحكومات الطاقة المتجددة لجعلها أكثر قدرة على المنافسة مع الوقود الأحفوري.
417,مُعَرَّض ل,من المحتمل أن يتأثر بشيء ما أو يكون عرضة له.,تُعد الفئات السكانية الأكبر سناً أكثر عرضة للإصابة بأمراض خطيرة ناجمة عن أمراض الجهاز التنفسي المعدية.
418,نظامي,يتعلق بنظام كامل بدلاً من جزء واحد.,إن معالجة الفقر تتطلب تغييراً جذرياً في النظام بدلاً من التدخلات الجزئية التي تستهدف الأعراض الفردية.
419,إعادة الصياغة,إعادة التعبير أو الابتكار بشكل جديد.,في ضوء الأدلة الجديدة، قد تحتاج الحكومات إلى إعادة صياغة نهجها في سياسة الصحة العامة.
420,انقباض,انخفاض في الناتج أو النشاط الاقتصادي.,كشف الانكماش الحاد في التجارة العالمية خلال فترة الجائحة عن هشاشة سلاسل التوريد.
421,انحراف,انحراف عما هو طبيعي أو متوقع.,يعتبر بعض الاقتصاديين الأزمة المالية لعام 2008 حالة شاذة وليست فشلاً هيكلياً للأسواق.
422,التنازل عن العرش,التقصير في أداء الواجب أو المسؤولية.,قد تُتهم الحكومات التي تخفض الخدمات العامة بالتخلي عن مسؤوليتها تجاه المواطنين الضعفاء.
423,مرارة,عداء شديد في الكلام أو السلوك.,اتسمت مفاوضات خروج بريطانيا من الاتحاد الأوروبي بتوتر شديد بين ممثلي الاتحاد الأوروبي والمملكة المتحدة.
424,دمج,أن يندمج أو يتحد في كيان واحد.,تم دمج العديد من الإدارات الصغيرة لتحسين الكفاءة الإدارية وتقليل التكاليف التشغيلية.
425,تحسين,لتحسين الوضع السيئ أو جعله أكثر احتمالاً.,تهدف برامج المساعدات الدولية إلى تحسين الظروف التي يواجهها السكان النازحون في مناطق النزاع.
426,المفارقة التاريخية,شيء غريب في عصره التاريخي.,يجادل النقاد بأن المجلس الأعلى غير المنتخب أصبح مفارقة ديمقراطية في المجتمع الحديث.
427,عدم التماثل,عدم المساواة أو التكافؤ بين الأجزاء.,يمكن أن يؤدي عدم تناسق المعلومات بين المشترين والبائعين إلى فشل السوق ونتائج غير فعالة.
428,الاستنزاف,انخفاض تدريجي من خلال الضغط المستمر أو الفقدان.,تحول الصراع المطول إلى حرب استنزاف استنزفت موارد كلا الجانبين المتنازعين.
429,التشعب,تقسيم إلى فرعين أو جزأين.,أدى تزايد عدم المساواة إلى انقسام المجتمع إلى مجموعتين اقتصاديتين منفصلتين بشكل متزايد.
430,التحايل,إيجاد طريقة للالتفاف حول قاعدة أو عقبة.,وقد اتُهمت الشركات متعددة الجنسيات باستخدام حسابات خارجية للتهرب من الالتزامات الضريبية المحلية.
431,قسري,استخدام القوة أو التهديدات لإجبار الآخرين على اتخاذ إجراء.,إن استخدام التدابير القسرية لقمع المعارضة السياسية ينتهك المبادئ الديمقراطية الأساسية.
432,التسليع,عملية التعامل مع شيء ما كسلعة قابلة للتسويق.,لقد أدى تحويل التعليم العالي إلى سلعة إلى تحويل الجامعات من مؤسسات عامة إلى مؤسسات تجارية.
433,الرضا عن النفس,إشباع الرضا الذاتي رغم المخاطر الواضحة.,لقد سمح التراخي السياسي في مواجهة تزايد عدم المساواة بتوسع الانقسامات الاجتماعية بشكل كبير.
434,تخمين,رأي تم تكوينه دون أدلة كافية.,بدون بيانات تجريبية، تظل الادعاءات المتعلقة بالأثر الاقتصادي للسياسة مجرد تكهنات.
435,مشروط,يعتمد ذلك على ظروف أو شروط غير مؤكدة.,يتوقف نجاح برنامج الإصلاح على الالتزام السياسي المستمر والتمويل الكافي.
436,تأكيد,للتأكيد أو الدعم بالأدلة.,تؤكد العديد من الدراسات المستقلة أن تلوث الهواء يزيد بشكل كبير من معدلات الوفيات.
437,تقليص,لتقليل أو تقييد شيء ما بشكل كبير.,تم سن تشريعات طارئة للحد من الحريات المدنية خلال ذروة الأزمة الصحية الوطنية.
438,حدد,لوصف أو الإشارة بدقة ووضوح.,يجب أن تحدد المعاهدات الدولية بوضوح مسؤوليات كل دولة موقعة.
439,العائد الديموغرافي,النمو الاقتصادي الناتج عن زيادة عدد السكان في سن العمل.,تتمتع منطقة أفريقيا جنوب الصحراء بفرصة للاستفادة من عائدها الديموغرافي من خلال الاستثمار في التعليم.
440,ردع,تثبيط العمل عن طريق الخوف أو الشك.,قد تؤدي العقوبات الأشد على المخالفات البيئية إلى ردع الشركات عن تلويث المجاري المائية بشكل غير قانوني.
441,الانقسام,انقسام حاد إلى فئتين متناقضتين.,غالباً ما يتم تقديم التناقض بين النمو الاقتصادي وحماية البيئة على أنه خيار زائف.
442,انتشار,انتشار شيء ما على مساحة واسعة.,لقد أدى الانتشار السريع للتكنولوجيا الرقمية إلى تغيير طريقة إنتاج المعلومات واستهلاكها على مستوى العالم.
443,حرمان من الحقوق المدنية,حرمان شخص ما من حقوقه أو امتيازاته.,قد تؤدي متطلبات تسجيل الناخبين المعقدة إلى حرمان المجتمعات ذات الدخل المنخفض والأقليات من حق التصويت بشكل غير متناسب.
444,متباينة,مختلفان نوعياً بشكل أساسي؛ غير قابلين للمقارنة.,يجب أن تراعي السياسة احتياجات المجتمعات المتباينة ذات الظروف الاقتصادية المختلفة للغاية.
445,فعالية,القدرة على تحقيق النتيجة المرجوة.,يجب أن تختبر التجارب السريرية بدقة فعالية العلاجات الجديدة قبل الموافقة عليها للاستخدام العام.
446,المساواة,الإيمان بالمساواة في الحقوق للجميع أو الدعوة إليها.,يجب على المجتمع الذي يتسم بالمساواة الحقيقية أن يعالج كلاً من المساواة القانونية الرسمية والمساواة الجوهرية في الفرص.
447,راسخ,راسخة ويصعب تغييرها.,لا يزال التحيز الجنسي المتأصل بعمق في ممارسات التوظيف يضر بالنساء في المناصب العليا.
448,التوازن,حالة من التوازن بين القوى المتضادة.,تنص نظرية العرض والطلب على أن الأسواق ستميل بشكل طبيعي نحو توازن الأسعار بمرور الوقت.
449,استئصال,تدمير أو إزالة شيء ما بشكل كامل.,إن هدف منظمة الصحة العالمية المتمثل في القضاء على شلل الأطفال على مستوى العالم يتطلب تغطية تطعيم شاملة.
450,استقراء,لتوسيع نطاق البيانات المعروفة للتنبؤ بالمواقف غير المعروفة.,يجب على الباحثين توخي الحذر عند محاولة تعميم النتائج المستخلصة من عينات صغيرة على جميع السكان.
451,تصنيع,اختلاق معلومات كاذبة؛ تصنيعها.,إن الصحفيين الذين يختلقون الأدلة يقوضون ثقة الجمهور في وسائل الإعلام ويضرون بالخطاب الديمقراطي.
452,دراسة الجدوى,صفة الإمكانية والعملية.,يلزم إجراء دراسة جدوى شاملة قبل الموافقة على مشاريع البنية التحتية واسعة النطاق.
453,العجز المالي,عندما يتجاوز الإنفاق الحكومي إيراداته.,يؤدي تزايد العجز المالي إلى إجبار الحكومات إما على رفع الضرائب أو خفض الإنفاق العام الأساسي.
454,إنجاز رائد,مبتكر ورائد؛ يقدم أفكاراً جديدة.,لقد فتحت الأبحاث الرائدة في مجال تعديل الجينات آفاقاً جديدة لعلاج الأمراض الوراثية.
455,شمولي,معالجة النظام بأكمله بدلاً من أجزائه.,يجب أن يتناول النهج الشامل للصحة العامة المحددات الاجتماعية والاقتصادية والبيئية في آن واحد.
456,متجانس,يتكون من عناصر متشابهة أو متجانسة.,قد تؤدي الثقافات الحضرية المتجانسة بشكل متزايد إلى تآكل التنوع الغني للمجتمعات المحلية التقليدية.
457,يعيق,عرقلة أو إعاقة التقدم أو الحركة.,إن الممارسات البيروقراطية الفاسدة تعيق التنمية الاقتصادية وتثبط الاستثمار الأجنبي المباشر.
458,مبتدئ,بداية الحدوث أو التطور؛ في المراحل المبكرة.,يُعد التدخل المبكر أمراً بالغ الأهمية لمنع تحول التباطؤ الاقتصادي الناشئ إلى ركود كامل.
459,بشكل عشوائي,تم القيام بذلك دون تفكير متأنٍ؛ عشوائي وغير مبالٍ.,إن الاستخدام العشوائي للمبيدات الحشرية يضر بالنظم البيئية ويؤذي الأنواع إلى ما هو أبعد بكثير من الهدف المقصود.
460,متأصل,الوجود كخاصية أساسية دائمة.,توجد توترات متأصلة بين تحقيق أقصى قدر من النمو الاقتصادي وحماية البيئة الطبيعية.
461,التحريض,إحداث أو بدء فعل أو حدث.,غالباً ما تحفز جماعات المجتمع المدني تغيير السياسات من خلال حشد الضغط الشعبي على المؤسسات الحكومية.
462,يخفف من,لتقليل حدة أو تأثير شيء ما.,يمكن أن تساعد زراعة الأشجار في المدن على تخفيف تأثير الجزر الحرارية في المدن ذات الكثافة السكانية العالية.
463,استمرار,لجعل شيء ما يستمر إلى أجل غير مسمى.,تميل الأنظمة التعليمية التي تعكس الهياكل الطبقية القائمة إلى إدامة عدم المساواة الاجتماعية بدلاً من الحد منها.
464,براغماتي,التعامل مع الأمور عملياً بدلاً من النظري.,يوازن النهج العملي لسياسة الهجرة بين الالتزامات الإنسانية والقدرة الاجتماعية الواقعية.
465,محفوف بالمخاطر,غير مؤكد ومن المرجح أن يتدهور؛ غير مستقر.,أدى انتشار عقود العمل بدون ساعات محددة إلى وضع العديد من العمال في وضع مالي غير مستقر وغير آمن.
466,استباقي,اتخاذ إجراءات استباقية لمنع وقوع حدث متوقع.,تزعم بعض الحكومات أن العمل العسكري الاستباقي مبرر عند مواجهة تهديد أمني وشيك.
467,التداعيات,نتيجة غير مباشرة لحدث أو فعل.,يمكن أن يكون للحروب التجارية تداعيات اقتصادية خطيرة على دول تتجاوز بكثير تلك المتورطة بشكل مباشر.
468,صارم,الامتثال الصارم والدقيق والمتطلب.,تُعدّ اللوائح البيئية الصارمة ضرورية لمنع الشركات من تحميل تكاليف التلوث على جهات خارجية.
469,تقويض,إضعاف أو إتلاف شيء ما تدريجياً.,إن الفساد المستشري يقوض ثقة الجمهور في المؤسسات الديمقراطية وسيادة القانون.
470,إعادة المعايرة,للتكيف أو إعادة الضبط استجابةً للظروف الجديدة.,قد تحتاج الحكومات إلى إعادة ضبط السياسة الاقتصادية استجابةً لظروف السوق العالمية المتغيرة بسرعة.
471,التثاقف,تبني سمات ثقافية من مجموعة أخرى.,ينطوي اندماج المجتمعات المهاجرة في المجتمع على مفاوضات معقدة بين التراث والمعايير الثقافية للمجتمع المضيف.
472,الفصل في القضايا,إصدار حكم أو قرار رسمي.,توجد المحاكم الدولية للفصل في النزاعات بين الدول التي لا يمكن حلها ثنائياً.
473,متناقض,معارض أو متناقض بشكل مباشر مع شيء ما.,إن قمع حرية التعبير يتعارض مع المبادئ الأساسية للحكم الديمقراطي الليبرالي.
474,مزدهر,النمو أو التطور بسرعة وقوة.,تُساهم الطبقة المتوسطة المتنامية في جنوب شرق آسيا في تحقيق نمو غير مسبوق في الطلب الاستهلاكي.
475,اندماج,أن نتحد لنشكل كياناً واحداً موحداً.,بدأت جماعات ناشطة متباينة في التوحد حول أجندة مشتركة للعدالة البيئية والاجتماعية.
476,مدرك,امتلاك المعرفة أو الوعي بشيء ما.,يجب على صانعي السياسات أن يكونوا على دراية تامة بالعواقب البيئية طويلة الأجل للتنمية الصناعية.
477,غير منتج,أن يكون له تأثير معاكس للتأثير المطلوب.,قد تكون سياسات مكافحة المخدرات العقابية المفرطة ذات نتائج عكسية، إذ تزيد من الجريمة بدلاً من الحد من تعاطي المخدرات.
478,دوري,يتكرر بانتظام من خلال تسلسل متكرر.,غالباً ما يكون الفقر دورياً، ينتقل عبر الأجيال بسبب عدم كفاية فرص الحصول على التعليم والفرص.
479,الشعبوية,التلاعب السياسي باستخدام الخطابات الشعبوية العاطفية.,يشكل صعود الشعبوية في المجتمعات الديمقراطية تهديداً خطيراً للحكم الرشيد والقائم على الأدلة.
480,متوطن,توجد بانتظام وتنتشر على نطاق واسع في منطقة معينة.,إن الفساد المستشري في المؤسسات العامة يعيق تقديم الخدمات بشكل فعال للمواطنين المحتاجين.
481,معرفي,يتعلق بالمعرفة أو بدرجة التحقق منها.,يتطلب التواضع المعرفي الاعتراف بحدود ما يمكننا معرفته عند صياغة السياسة العامة.
482,مُلِحّ,يتطلب إجراءً أو اهتماماً فورياً؛ عاجل.,تطلبت المطالب الملحة لأزمة اللاجئين استجابة دولية فورية ومنسقة.
483,خارج الحدود الإقليمية,التوسع أو العمل خارج الحدود الإقليمية.,تطبق بعض الدول قوانين خارج حدودها الإقليمية لمقاضاة الشركات بتهمة الرشوة المرتكبة في الخارج.
484,جيوسياسي,يتعلق بالسياسة المتأثرة بالجغرافيا.,يتزايد التنافس على الموارد المعدنية الحيوية، مما يؤدي إلى تصاعد التوترات الجيوسياسية بين القوى الكبرى.
485,غير متجانس,متنوعة في خصائصها أو تتكون من عناصر مختلفة.,تُساهم القوى العاملة غير المتجانسة في توفير وجهات نظر متنوعة يمكن أن تدفع نحو مزيد من الابتكار التنظيمي.
486,إرشادي,تمكين الاكتشاف من خلال التجربة والأساليب العملية.,يكشف علم الاقتصاد السلوكي كيف يمكن أن تؤدي الاستدلالات المعرفية إلى اتخاذ الأفراد قرارات غير عقلانية بشكل منهجي.
487,تهجين,عملية دمج عنصرين متميزين.,ينتج عن التهجين الثقافي في المدن المعولمة أشكال إبداعية جديدة تستمد من تقاليد متعددة.
488,غير قابل للتغيير,ثابت مع مرور الوقت؛ من المستحيل تغييره.,يرى بعض الفلاسفة أن الحقائق الأخلاقية ثابتة لا تتغير، بينما يجادل آخرون بأنها تتطور مع المجتمع.
489,لا يرحم,من المستحيل إيقافه أو منعه؛ لا هوادة فيه.,يشكل الارتفاع المطرد لمستويات سطح البحر تهديداً وجودياً للمجتمعات الساحلية المنخفضة في جميع أنحاء العالم.
490,خبيث,ضار تدريجياً بطريقة خفية ومُستترة.,يمكن أن يكون للتحيز اللاواعي تأثير خبيث على قرارات التوظيف، مما يؤدي إلى استمرار عدم المساواة المنهجية في مكان العمل.
491,عنيد,من الصعب للغاية إدارتها أو حلها أو التعامل معها.,أثبت الصراع الإسرائيلي الفلسطيني أنه عصي على الحل رغم عقود من الجهود الدبلوماسية الدولية.
492,متعدد الأوجه,يمتلك العديد من الجوانب أو الأبعاد المختلفة.,إن معالجة تغير المناخ تتطلب نهجاً متعدد الأوجه يجمع بين التغيير التكنولوجي والسياسي والسلوكي.
493,ناشئ,في بداية الوجود أو التطور.,يمكن للاستثمار في قطاع الطاقة المتجددة الناشئ أن يساعد الدول على الانتقال من الاعتماد على الوقود الأحفوري.
494,معياري,يتعلق الأمر بوضع معايير السلوك أو تحديدها.,يمكن أن تؤثر الافتراضات المعيارية حول الأدوار الجندرية بشكل كبير على تصميم السياسات التعليمية وسياسات أماكن العمل.
495,التمويه,لجعل شيء ما غير واضح أو يصعب فهمه.,يلجأ السياسيون أحياناً إلى استخدام لغة تقنية لإخفاء القرارات غير الشعبية عن عامة الناس.
496,متناقض,يبدو الأمر متناقضاً ظاهرياً، ولكنه قد يكون صحيحاً.,من المفارقات أن زيادة إمكانية الوصول إلى المعلومات لم تؤد دائماً إلى مشاركة سياسية عامة أكبر.
497,تكافلي,ينطوي على منفعة متبادلة بين كيانين.,إن العلاقة التكافلية بين الجامعات والصناعة تدفع الابتكار والقدرة التنافسية الاقتصادية.
498,عابر,يدوم لفترة قصيرة فقط؛ مؤقت.,غالباً ما تكون الطفرات الاقتصادية المدفوعة بصادرات السلع الأساسية عابرة ولا تؤدي إلى تنمية مستدامة.
499,منتشر في كل مكان,موجود وموجود في كل مكان في آن واحد.,أصبحت الهواتف الذكية منتشرة في كل مكان لدرجة أن الاستبعاد الرقمي يشكل الآن شكلاً خطيراً من أشكال الحرمان الاجتماعي.
500,الهيمنة,يتعلق الأمر بالسيطرة على الآخرين.,يجادل النقاد بأن المعايير الثقافية الغربية المهيمنة غالباً ما تُفرض على الدول النامية من خلال المؤسسات العالمية.